index,an_base,nm_programa,nm_producao,nm_subtipo_producao,ds_abstract,nm_discente,nm_area_conhecimento,nm_area_avaliacao,nm_orientador
20060,2012,HISTORIA,NOSSA SENHORA DA GUIA DE MANGARATIBA: CONFLITO DE IDENTIDADES EM TERRAS DE ÍNDIOS,Mestrado,"A aldeia de Nossa Senhora da Guia de Mangaratiba foi palco de alguns conflitos que marcam a presença de diversas formas de manifestação de identidades indígenas sob um contexto de reformas legislativas que tentaram transformar a posição colonial do índio. Dessa maneira, considera-se o século XVIII e principalmente o período de atuação das políticas assimilacionistas um momento no qual os grupos indígenas aprenderam a reivindicar seus direitos, fosse através do seu antigo status social, o de índio colonial, fosse através da apresentação de novas identidades defendidas à margem do contexto do grupo, ou seja, a partir de uma lógica individual. Pedro Alexandre Galvão foi, em Mangaratiba um importante.representante destes conflitos de identidades, ora apresentando-se como morador, ora como líder indígena.",BARBARA HELENA DE ARAUJO GUIMARAES SANCHES,HISTÓRIA,HISTÓRIA,KEILA GRINBERG
20061,2012,HISTORIA,A SANTA ILICITUDE – PADRES GIRÓVAGOS NO RIO DE JANEIRO E MINAS NA PRIMEIRA METADE DO SETECENTOS,Mestrado,"Partindo do princípio que os descaminhos e demais ilicitudes são elementos constitutivos da sociedade colonial, este trabalho visa entender como tais práticas sociais perpassam um estrato específico da sociedade em questão, os membros do clero. De maneira mais específica, é analisada a circulação de representantes de setores da igreja entre Rio de Janeiro e Minas, apesar da expressa proibição real de que clérigos fossem às Minas. O pano de fundo para esta análise é o rush aurífero característico do início do século XVIII. Adicionalmente também será considerado o envolvimento de membros da Ordem de São Bento com descaminhos e demais ilicitudes. Estas análises lançam luz sobre a dinâmica da sociedade colonial e em última instância revelam aspectos isuspeitos da relação entre Igreja e Estado.",RENATA BEZERRA DE MEDEIROS DOS SANTOS,HISTÓRIA,HISTÓRIA,PAULO CAVALCANTE DE OLIVEIRA JUNIOR
20062,2012,HISTORIA,DIÁLOGOS PARA CONSTRUIR UMA NAÇÃO: CONTINUIDADES DA QUESTÃO NACIONAL NO PENSAMENTO SOCIAL BRASILEIRO NAS PÁGINAS DA REVISTA DE IMIGRAÇÃO E COLONIZAÇÃO,Mestrado,"O seguinte trabalho tem como objetivo destacar a produção intelectual de indivíduos que colaboraram para a Revista de Imigração e Colonização, periódico do Conselho de Imigração e Colonização..Tais artigos tratam de assuntos ligados à política imigratória do Estado Novo, estudos científicos sobre raça, cultura e nação e questões relacionadas ao povoamento do território brasileiro. O periódico revela em muitos de seus artigos ideias discutidas pelo Pensamento Social Brasileiro a respeito da construção da identidade nacional. Desta forma, é possível concluir a partir de pesquisas e estatísticas que objetivaram contribuir para a elaboração de propostas e políticas governamentais, o diálogo com ideias de intelectuais como Silvio Romero, Paulo Prado, Alberto Torres e Oliveira Vianna, por exemplo. Na Revista de Imigração e Colonização foram divulgadas não só as decisões e medidas tomadas pelo Conselho, mas também desenvolveu a tarefa de veiculação das informações científicas, fruto de pesquisas dos indivíduos dos diferentes órgãos e institutos ligados à imigração e colonização no Brasil. A Revista de Imigração e Colonização também pode contar com a participação de intelectuais renomados do contexto, além de estrangeiros..É desta forma que se faz necessário situar o Conselho de Imigração e Colonização em um contexto de produção intelectual que servia como instrumento de um Estado que se propunha a realizar mudanças nas mais diversas áreas da sociedade brasileira.",CAMILA ALMEIDA BELARMINO,HISTÓRIA,HISTÓRIA,FLAVIO LIMONCIC
20063,2012,HISTORIA,"PATROMÔNIO BRASILEIRO, PRODUTOR DE PRESENÇA: A CRIAÇÃO DO SPHAN EM 1937 E O PRESENTE ESPESSO COMO CONÓTOPO CONTEMPORÂNEO",Mestrado,"Este trabalho tem como objetivo apresentar as ideias de Hans Ulrich Gumbrecht em seu livro Produção de Presença. Contudo, os escritos de Afonso Arinos, Levy Hannah, Rodrigo Melo Franco de Andrade e Lucio Costa serão utilizados como base empírica. É o ponto central deste trabalho ler as ideias de importantes nomes da criação do SPHAN sob uma nova luz: o novo cronótopo, nomeado como o presente lento..Por esta razão, o trabalho é dividido em 3 capítulos: o primeiro tratará os tipos ideais de Gumbrecht de ""cultura de presença"" e ""cultura de significado"" a fim de compreender suas possibilidades de uso. O segundo capítulo será mais específico. Importantes nomes na criação do SPHAN como órgão estatal, como os acima mencionados, tiveram seus textos publicados em diferentes meios. Aqui, neste trabalho, a preocupação recairá sobre alguns escritos específicos, aqueles que têm o patrimônio histórico, de uma forma teórica, como tema. Como um capítulo mais equilibrado, o terceiro, e último, pensará sobre as possibilidades de conjugação patrimônio / teoria da história.",LUARA GALVAO DE FRANCA,HISTÓRIA,HISTÓRIA,PEDRO SPINOLA PEREIRA CALDAS
20064,2012,HISTORIA,"FRANCISCO JOSÉ VIVEIROS DE CASTRO: SEXUALIDADE, CRIMINOLOGIA E CIDADANIA NO FIM DO SÉCULO XIX",Mestrado,"O objetivo desta dissertação é investigar a atuação e a obra do jurista José Viveiros de Castro no fim do século XIX e início do século XX, especialmente em relação às questões da sexualidade e criminologia, que foram os principais temas dos quais tratou durante sua carreira. Partindo da ideia de que o comportamento sexual das classes populares não poderia ser determinado pelo comportamento que se esperava das elites, posto que as duas viviam em universos que lhes exigiam.condutas razoavelmente determinadas e definitivamente incompatíveis, é possível ver que Viveiros de Castro construiu todo um ""projeto civilizatório"", fundamentado em um comportamento feminino ideal, que não pôde se realizar tanto por seus fundamentos teóricos, baseados na nova escola penal positivista, quanto pela sua incompatibilidade com o modo de vida das classes trabalhadoras.",CAROLINA RABELO MOREIRA DA SILVA,HISTÓRIA,HISTÓRIA,FLAVIO LIMONCIC
20065,2012,HISTORIA,APROPRIAÇÃO DE TERRAS NO CAMINHO NOVO,Mestrado,"A propriedade da terra apesar de ser um meio para o estabelecimento da economia na sociedade colonial, também era um elemento que determinava as hierarquias sociais no século XVIII. Com a abertura do Caminho Novo, ligando os pólos de mineração com o porto do Rio de Janeiro, uma extensa faixa de terras no eixo do caminho foi sendo ocupada e diversos foram os mecanismos de apropriação de terras, que dinamizavam uma nova região colonial com o desenvolvimento de.atividades periféricas apoiando a extração aurífera. Para compreender esses mecanismos de apropriação numa nova região torna-se necessário analisar o direito sobre a propriedade da terra, centro das discussões entre proprietários que se conflitavam a fim de legitimar suas terras, seja com o título jurídico da sesmaria ou com a ocupação livre. Nesse contexto, o direito deve ser entendido como a norma mais sua aplicação, considerando as práticas locais, os costumes, o direito.comum, a tradição e outras fontes de direito que existiam na realidade colonial. Os proprietários de terras entre c.1700-1760, além de difundir a ocupação e desbravamentos de áreas pouco povoadas, tinham por finalidade abastecer as pessoas.que utilizavam o Caminho Novo e se dirigiam às minas. Com o declínio da mineração, o governo português adota uma política de fomento agrário como forma de reestruturação da agricultura colonial. A partir de 1760, até aproximadamente 1800,.influenciados por essa política, os proprietários passaram a investir em novas culturas em suas propriedades visando, além de atender o comércio interno, direcionar-se para os interesses de um mercado mais abrangente.",JOAO VICTOR DINIZ COUTINHO POLLIG,HISTÓRIA,HISTÓRIA,MARCOS GUIMARÃES SANCHES
20066,2012,HISTORIA,ESCRAVIDÃO E LIBERDADE NA CONSTRUÇÃO DO ESTADO ORIENTAL DO URUGUAI (1830-1860),Mestrado,"A dissertação se insere na linha de pesquisa Instituições, Poder e Sociedade, do programa de pós-graduação da UNIRIO, concentrando-se sua temática nas relações de poder estabelecidas no processo de formação dos Estados nacionais no século XIX. Nosso principal questionamento é como o fim da escravidão no Uruguai se inseriu no processo de construção deste Estado-nação, observando seus impactos tanto na política interna quanto na política externa do país. Internamente analisamos como os discursos pela liberdade dos escravos inseriram-se no processo de construção de identidades políticas nacionais, demonstrando a relação estabelecida entre as guerras de independência e do pós-independência, a liberdade e a cidadania dos escravos. Na política externa verificamos nos diversos conflitos e negociações entre o Brasil e o Uruguai, um campo de forças antagônicas e complementares no qual, em função de interesses nacionais variados, se redefiniam continuamente as decisões que incidiam sobre os escravos e libertos no território brasileiro, uruguaio e na comunidade fronteiriça. O problema da legitimidade jurídica da escravidão seria assim um ponto chave na definição da soberania territorial destes Estados. Dessa forma, buscamos entender a dinâmica histórica da escravidão e do processo de aquisição de direitos e de emancipação dos escravos no Uruguai e nesta região fronteiriça, levando em consideração a busca pela consolidação do Estado nacional e de suas fronteiras em meados do século XIX.",RACHEL DA SILVEIRA CAE,HISTÓRIA,HISTÓRIA,KEILA GRINBERG
20067,2012,HISTORIA,A IDÉIA DE GUERRA JUSTA NO CONTRA FAUSTO MANICHAEM DE AGOSTINHO DE HIPONA (354-430),Mestrado,"Este trabalho trata da noção de guerra justa na obra Contra Fausto de Santo Agostinho, publicada no ano de 397. Trata-se de uma obra escrita com o intuito de fazer uma série de críticas ao maniqueísmo, movimento cismático que possuía muitos adeptos na diocese de Agostinho, em Hipona. Para que possamos entender as críticas feitas por Agostinho, o trabalho trata também do maniqueísmo e suas principais características. O trabalho objetiva apresentar os princípios de guerra justa formulados por Agostinho durante o seu bispado na cidade de Hipona. Visa ainda entender a definição dada por Agostinho para uma guerra justa. A partir dessa definição, seria possível compreender quais guerras podem ser consideradas.justas. O método empregado para a compreensão do tema é uma análise interna do Contra Fausto. A partir dessa análise, são feitas tabelas para filtrar os resultados obtidos. As tabelas são interpretadas de forma a fornecer os resultados desejados.",PAULO VINICIUS FIGUEIREDO DOS SANTOS,HISTÓRIA,HISTÓRIA,PAULO ANDRÉ LEIRA PARENTE
20068,2012,HISTORIA,“O CAXAMBU TEM DENDÊ”: JONGO E RELIGIOSIDADES NA CONSTRUÇÃO DA IDENTIDADE QUILOMBOLA DE SÃO JOSÉ DA SERRA,Mestrado,"A presente dissertação tem por objetivo analisar a relação entre a prática do jongo e as vivências religiosas em São José da Serra como um dos elementos de construção da identidade quilombola deste grupo no período de 1988 a 2011. Localizada no distrito de Santa Isabel do Rio Preto, no município de Valença, estado do Rio de Janeiro, a comunidade é formada por famílias descendentes de escravos que trabalharam naquelas terras até o final do século XIX. Presente em São José da Serra e no cotidiano das diversas comunidades negras do Sudeste brasileiro na atualidade, o jongo representa um dos elos entre os descendentes de escravos e seus antepassados, sendo um dos referenciais para a reafirmação das identidades desses grupos. Utilizando a metodologia da História Oral, procurou-se estabelecer uma análise comparativa entre os depoimentos dos moradores da comunidade de São José da Serra e as narrativas de representantes de outras comunidades jongueiras e/ou quilombolas no que diz respeito às interações entre o jongo e as religiosidades. Ao se identificarem como “católicos e umbandistas”, os moradores de São José da Serra nos apresentam a sua identidade religiosa. Compreender esse universo religioso, destacando seu diálogo com o jongo – uma das principais manifestações culturais do grupo – dentro do universo de apropriações culturais, possibilita a construção de uma leitura das práticas e vivências a partir das percepções do próprio grupo que as forjam.",IONE MARIA DO CARMO,HISTÓRIA,HISTÓRIA,ANDERSON JOSÉ MACHADO DE OLIVEIRA
20069,2012,HISTORIA,SOB A TOGA E A FARDA: O MINISTRO GENERAL DE EXÉRCITO RODRIGO OCTÁVIO JORDÃO RAMOS NO SUPERIOR TRIBUNAL MILITAR (1973-1979).,Mestrado,"O Superior Tribunal Militar (STM), como órgão do poder Judiciário, teve papel fundamental na conjuntura política brasileira durante o período da ditadura civil-militar, mais especificamente a partir do Ato Institucional nº 2, através do qual houve uma ampliação das atribuições deste tribunal, que ficou encarregado de julgar civis acusados de crimes contra o Estado e a ordem política e social do país. A atuação do general de Exército Rodrigo Octávio Jordão Ramos como ministro do STM entre 1973 e 1979 é representativa do período em que foram elaboradas medidas visando à liberalização da ditadura civil-militar vigente no Brasil. Considerando a atuação deste juiz militar, a pesquisa buscará investigar, de uma maneira geral, as relações entre militares e política e, especificamente, analisar quais as dimensões de incerteza que permearam o processo de liberalização ao buscar compreender os diferentes projetos dos militares no que se refere ao processo de abertura do regime, executados por meio de decisões judiciais, que visavam definir quais seriam os limites estabelecidos às atividades da oposição. O objetivo deste trabalho não é evidenciar tão somente os traços do regime ditatorial, é preciso ir além e perceber as suas contradições, ou seja, o que preservou de princípios liberais, fosse para manter a sua legitimidade perante a sociedade ou devido a indivíduos que não conseguiam abandonar estes princípios, especialmente durante a década de 1970, quando a luta por direitos comumente reconhecidos em um regime democrático intensificou-se.",ANGELICA DO CARMO COITINHO,HISTÓRIA,HISTÓRIA,LUCIA GRINBERG
